#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
#       1  318.620784  -1.053274   51464.171742   51464.188767  95.000000   0.000000 318.620784  -1.053274
    1453  243.933226  49.521463   51667.375614   51667.449419  94.998633  67.506268 218.788897  -1.059061
    1458  132.695665   0.472706   51668.139661   51668.442757  95.007975   2.500703 132.685588  -1.056095
    1462  128.788938   0.123945   51669.143996   51669.419726  95.005791   2.500851 128.768208  -1.266432
    1463  265.626476  -1.267366   51669.444898   51669.465630   2.418997   0.040634 265.626581  -1.227017
    1478  210.443943   3.249959   51674.358629   51674.443214  94.993125   4.998526 210.406727  -1.264708
    1481  162.984421  -1.161803   51675.145015   51675.166990 165.795099   0.002008 162.984380  -1.161704
    1658  277.109697  -1.057867   51790.150393   51790.171954 205.337939   0.004389 277.109671  -1.062035
    1659  306.585219  -6.347296   51790.182519   51790.326811  95.001328   9.999461 307.136342  -1.059464
    1662  333.859808  -9.853563   51791.376591   51791.428420  94.848426  10.061379 334.358698  -1.199892
    1666  347.595866 -10.817793   51792.387439   51792.469121  94.999260   9.991779 347.910393  -1.273086
    1729  348.969544 -10.887930   51813.270895   51813.474895  95.000571  10.000898 349.261733  -1.267074
    1737  308.662164  -6.865798   51814.103651   51814.158797  94.999419   9.999713 309.253547  -1.270200
    1738  305.765515   6.718861   51814.167592   51814.198275 274.761380  15.046874 306.395935  -1.135678
    1739  315.694848   8.831242   51814.209652   51814.339017 275.001523  15.000243 316.467481  -1.057821
    1740  358.215792 -10.989644   51814.347789   51814.412471  95.002058  10.013740 358.339699  -1.044436
    1741   22.514570 -10.604228   51814.422551   51814.442868  94.888823   9.952943  22.207293  -1.108298
    1749  307.851559   6.970736   51817.121561   51817.196195 274.992395  15.004784 308.480187  -1.272641
    1752   25.261023  -1.056361   51818.338091   51818.479895 340.400247   0.000170  25.261020  -1.056481
    1754  313.946959   8.235476   51819.175475   51819.190817  95.000000 -15.000000 314.654580  -1.298157
